,grid_square,latitude,longitude,population_per_hectare,bicycle_aadf,motor_vehicle_aadf,safe
0,"51.338,-0.4155",51.338105,-0.415736,3.8,2.6,77061.20000000001,0
1,"51.593,0.213",51.592871,0.212878,59.6,146.6,19256.4,0
2,"51.478,-0.4045",51.477806,-0.404606,78.8,112.8,34559.200000000004,0
3,"51.467,-0.162",51.466753000000004,-0.16181500000000001,142.2,1333.6,16306.4,0
4,"51.571,-0.2315",51.570964000000004,-0.2313780000000001,23.6,95.0,12935.0,0
5,"51.4605,0.1935",51.46073,0.193664,20.6,159.0,31148.80000000001,0
6,"51.472,-0.0935",51.471957,-0.093498,138.2,2169.6,23030.4,0
7,"51.577,-0.3435",51.577221,-0.343254,113.0,89.8,33273.0,0
8,"51.491,-0.4025",51.490778999999996,-0.402441,16.6,80.6,55687.4,0
9,"51.451,0.052",51.450916,0.052141999999999994,47.7,43.8,10374.199999999997,0
10,"51.476,0.284",51.476238,0.283798,3.2,53.6,4438.6,0
11,"51.447,-0.3285",51.446981,-0.328545,53.1,2425.8,31353.8,0
12,"51.402,0.113",51.402046999999996,0.113072,29.6,78.6,10862.4,0
13,"51.599,0.0205",51.598822,0.020538999999999998,78.1,201.2,19450.2,0
14,"51.5805,-0.3635",51.580349,-0.363631,70.1,87.8,18293.2,0
15,"51.6865,0.129",51.686312,0.128976,7.0,1.2,436.60000000000014,0
16,"51.562,-0.292",51.562101,-0.292153,48.5,129.6,14255.4,0
17,"51.475,-0.396",51.474994,-0.396208,84.2,408.2,53150.19999999999,0
18,"51.3805,-0.183",51.380521,-0.18324000000000001,87.2,86.0,13424.5,0
19,"51.5435,-0.223",51.543719,-0.22304000000000002,49.5,216.6,12626.000000000002,0
20,"51.506,-0.406",51.505756,-0.406096,15.1,131.6,59523.0,0
21,"51.494,-0.1775",51.493829,-0.17744100000000002,74.1,1265.0,17799.999999999996,0
22,"51.518,-0.0385",51.518076,-0.038268,185.9,902.2,27064.4,0
23,"51.4765,-0.1655",51.476741,-0.16573800000000002,168.9,658.2,11143.6,0
24,"51.6045,-0.418",51.604741,-0.41777299999999995,56.6,64.6,27984.8,0
25,"51.3425,-0.3635",51.342646,-0.363358,7.5,88.0,25219.0,0
26,"51.4825,-0.183",51.482671999999994,-0.182783,173.6,424.2,18226.4,0
27,"51.5685,0.0815",51.568748,0.081399,109.1,172.0,38042.6,0
28,"51.4525,0.2265",51.452449,0.226374,17.2,93.8,18670.8,0
29,"51.5015,-0.151",51.501477,-0.151197,59.2,1670.8,47150.60000000001,0
30,"51.532,-0.238",51.532126,-0.237762,115.4,508.6,25700.6,0
31,"51.52,0.018",51.520037,0.017914,122.7,21.2,937.6,0
32,"51.559,-0.0665",51.558923,-0.066492,160.6,775.2,15733.8,0
33,"51.5445,-0.2015",51.544702,-0.20136500000000002,156.1,348.4,7144.4,0
34,"51.3985,0.0185",51.39862,0.018603,39.9,4.0,467.4,0
35,"51.5265,-0.0815",51.52665,-0.081414,44.8,1942.2,12287.2,0
36,"51.5615,0.069",51.561285999999996,0.069083,94.9,230.6,35687.4,0
37,"51.487,-0.197",51.486936,-0.196874,112.3,1786.0,11968.2,0
38,"51.554,-0.338",51.553945,-0.337897,68.1,154.6,17758.0,0
39,"51.523,-0.158",51.523168,-0.158103,261.5,521.0,13976.6,0
40,"51.513,-0.2035",51.512813,-0.20363,112.8,186.4,4211.199999999999,0
41,"51.3235,-0.1995",51.32327100000001,-0.199319,34.0,26.0,18197.6,0
42,"51.501,-0.286",51.500771,-0.285947,46.4,484.0,39880.2,0
43,"51.474,-0.06",51.473782,-0.060161,144.7,1368.4,20343.0,0
44,"51.545,0.0045",51.544908,0.0044469999999999996,119.0,366.4,22170.6,0
45,"51.626,-0.3895",51.62622800000001,-0.389265,28.7,7.0,363.20000000000016,0
46,"51.719,0.2375",51.71898,0.237506,7.9,8.8,17483.8,0
47,"51.4275,-0.161",51.427565,-0.160947,159.8,788.8,16779.2,0
48,"51.4215,-0.0905",51.421316,-0.09071900000000001,54.9,134.0,8330.4,0
49,"51.4835,-0.3825",51.483403,-0.382536,49.9,100.2,11158.8,0
50,"51.431,-0.498",51.430796,-0.497983,34.4,570.6,17431.199999999993,0
51,"51.428,-0.4915",51.427842,-0.49140500000000004,57.2,18.0,24781.8,0
52,"51.3855,-0.2115",51.385721999999994,-0.21149099999999998,65.5,257.2,24552.0,0
53,"51.2685,-0.1665",51.268594,-0.166441,2.3,0.0,157969.4,0
54,"51.461,-0.217",51.461076,-0.21703899999999998,104.3,1259.8,17573.8,0
55,"51.2585,-0.106",51.258749,-0.106135,1.6,0.0,141002.4,0
56,"51.71,-0.089",51.709866,-0.089158,3.7,4.2,987.0,0
57,"51.614,-0.0575",51.613756,-0.05752,22.2,28.8,94679.6,0
58,"51.483,-0.4925",51.483159,-0.492413,1.2,54.0,23064.2,0
59,"51.535,-0.205",51.534865,-0.204925,116.4,344.6,5826.200000000003,0
60,"51.5345,-0.278",51.534737,-0.278038,49.6,27.6,97132.2,0
61,"51.5825,-0.1935",51.582565,-0.193523,38.9,393.2,18421.4,0
62,"51.451,-0.4065",51.451125,-0.406544,47.6,263.0,23429.4,0
63,"51.392,0.018",51.392068,0.017883,50.9,92.6,25867.0,0
64,"51.4375,-0.426",51.437502,-0.42586,10.6,204.6,13143.4,0
65,"51.3765,-0.12",51.376376,-0.12003599999999999,20.8,264.4,27082.4,0
66,"51.5635,-0.2275",51.563266999999996,-0.22761199999999998,48.6,364.0,13064.0,0
67,"51.35,0.089",51.350228,0.089146,27.4,128.8,24381.2,0
68,"51.5525,0.1555",51.552355,0.15548900000000002,90.7,88.2,21769.4,0
69,"51.6125,-0.1135",51.61251,-0.113471,118.1,170.4,16557.399999999998,0
70,"51.5275,-0.0475",51.527711,-0.047633,182.5,660.6,16295.4,0
71,"51.5195,-0.0585",51.519403000000004,-0.058508000000000004,122.1,2995.0,22570.4,0
72,"51.4745,-0.2675",51.474689,-0.267341,43.2,581.4,36875.4,0
