"51.442,-0.0125"
"51.6415,-0.3765"
"51.33,0.259"
"51.26,-0.101"
"51.657,-0.179"
"51.543,-0.5115"
"51.5645,-0.4755"
"51.3145,-0.2895"
"51.371,-0.297"
"51.285,0.1545"
"51.4915,-0.079"
"51.43,0.037"
"51.321,0.148"
"51.481,-0.4875"
"51.296,-0.0095"
"51.371,0.006"
"51.395,-0.0915"
"51.7005,-0.432"
"51.3355,-0.5115"
"51.712,-0.351"
"51.5865,-0.309"
"51.66,-0.473"
"51.326,-0.251"
"51.498,-0.502"
"51.391,-0.541"
"51.272,-0.5035"
"51.2685,-0.3495"
"51.391,0.2815"
"51.5605,0.0505"
"51.601,-0.129"
"51.7045,-0.237"
"51.639,-0.4245"
"51.3055,-0.1215"
"51.5545,-0.452"
"51.71,-0.234"
"51.6795,0.073"
"51.506,0.2285"
"51.6585,-0.4375"
"51.711,-0.0055"
"51.268,-0.323"
"51.4975,-0.173"
"51.526,-0.2965"
"51.521,0.1215"
"51.5085,-0.479"
"51.486,-0.024"
"51.5155,0.1415"
"51.672,-0.154"
"51.562,-0.0685"
"51.4475,0.1575"
"51.662,0.286"
"51.3285,-0.0305"
"51.352,-0.1235"
"51.578,-0.233"
"51.268,0.1775"
"51.6845,-0.4425"
"51.57,-0.3015"
"51.3745,0.004"
"51.3975,0.262"
"51.48,0.2695"
"51.266,0.125"
"51.6285,-0.0085"
"51.6615,0.037"
"51.3985,0.049"
"51.447,-0.5315"
"51.5565,-0.058"
"51.502,0.15"
"51.5855,-0.3915"
"51.289,-0.16"
"51.6355,0.022"
"51.3755,-0.1375"
"51.4665,-0.12"
"51.302,0.1725"
"51.5505,-0.161"
"51.492,0.274"
"51.421,0.0285"
"51.598,0.0575"
"51.6425,0.121"
"51.532,-0.0635"
"51.596,-0.152"
"51.268,-0.195"
"51.4215,-0.1335"
"51.6275,-0.168"
"51.416,0.1705"
"51.588,-0.4565"
"51.6835,0.121"
"51.505,-0.1225"
"51.4505,0.0995"
"51.4255,0.1035"
"51.676,0.2805"
"51.4845,0.1405"
"51.6095,-0.4515"
"51.3205,0.262"
"51.455,0.034"
"51.3605,0.1815"
"51.5455,-0.5245"
"51.393,0.1705"
"51.345,-0.013"
"51.2785,0.013"
"51.7055,-0.3605"
"51.4445,-0.0865"
"51.5375,-0.5"
"51.7145,-0.2465"
"51.5635,-0.233"
"51.575,-0.29"
"51.598,-0.001"
