,LSOA,population_per_hectare
0,E01012334,0.4
1,E01012335,12.1
2,E01012366,0.3
3,E01033481,9.3
4,E01033482,6.9
5,E01012323,28.2
6,E01012324,67.6
7,E01032545,34.9
8,E01032546,18.9
9,E01012328,61.1
10,E01012329,25.5
11,E01012330,40.3
12,E01012331,53.7
13,E01012349,47.5
14,E01012350,55.0
15,E01012351,51.2
16,E01012352,43.5
17,E01012325,33.6
18,E01012326,23.2
19,E01012332,58.1
20,E01012333,36.7
21,E01012309,49.7
22,E01012310,48.5
23,E01012311,54.0
24,E01012312,63.2
25,E01012313,34.9
26,E01012314,48.6
27,E01012362,98.6
28,E01012363,102.7
29,E01012364,75.7
30,E01012365,57.1
31,E01012353,125.0
32,E01012354,66.0
33,E01012355,57.8
34,E01033483,17.5
35,E01033484,21.7
36,E01012307,22.2
37,E01012327,32.3
38,E01012342,16.1
39,E01012343,12.1
40,E01012315,40.3
41,E01012316,45.1
42,E01012360,29.6
43,E01012336,16.0
44,E01012337,25.2
45,E01012347,42.1
46,E01012348,32.4
47,E01012361,8.5
48,E01012304,68.9
49,E01012305,83.8
50,E01012306,52.7
51,E01012340,60.7
52,E01012341,70.6
53,E01012317,43.3
54,E01012318,30.1
55,E01012319,31.8
56,E01012356,38.8
57,E01012357,59.2
58,E01012358,28.6
59,E01012359,59.4
60,E01012338,0.9
61,E01012339,5.1
62,E01012344,2.9
63,E01012345,1.7
64,E01012346,11.7
65,E01020613,6.5
66,E01020614,34.8
67,E01020622,2.9
68,E01020623,28.6
69,E01020606,3.9
70,E01020615,28.1
71,E01020616,18.5
72,E01020617,7.4
73,E01020596,48.8
74,E01020597,31.9
75,E01020598,31.4
76,E01020611,4.2
77,E01020612,7.9
78,E01020592,51.4
79,E01020593,41.2
80,E01020599,71.0
81,E01020601,22.7
82,E01020602,37.3
83,E01020618,6.2
84,E01020594,71.5
85,E01020595,8.1
86,E01020600,33.3
87,E01020603,53.2
88,E01020605,45.8
89,E01020590,3.7
90,E01020591,3.5
91,E01020608,4.7
92,E01020609,15.3
93,E01020610,4.3
94,E01020604,1.5
95,E01020607,2.5
96,E01020619,14.2
97,E01020620,7.1
98,E01020621,24.6
99,E01020634,2.4
100,E01020635,8.1
101,E01020636,18.3
102,E01020654,17.7
103,E01020676,2.8
104,E01020627,47.7
105,E01020628,25.0
106,E01020629,32.0
107,E01020655,2.4
108,E01020656,3.8
109,E01020657,3.1
110,E01020661,20.8
111,E01020662,37.6
112,E01020663,3.4
113,E01020674,11.1
114,E01020678,17.6
115,E01020626,31.4
116,E01020638,31.0
117,E01020639,4.6
118,E01020653,3.3
119,E01020677,5.1
120,E01020647,42.1
121,E01020648,13.1
122,E01020649,7.4
123,E01020673,39.4
124,E01020675,36.2
125,E01020624,20.5
126,E01020625,5.5
127,E01020670,11.3
128,E01020671,85.2
129,E01020672,3.6
130,E01020632,30.9
131,E01020640,39.5
132,E01020641,27.8
133,E01020642,20.2
134,E01020643,40.3
135,E01020667,5.2
136,E01020650,28.8
137,E01020651,14.8
138,E01020652,12.5
139,E01020668,25.7
140,E01020669,2.9
141,E01020630,17.6
142,E01020631,36.2
143,E01020637,0.3
144,E01020644,6.7
145,E01020645,9.3
146,E01020633,1.1
147,E01020664,0.3
148,E01020665,12.4
149,E01020666,20.3
150,E01020646,0.4
151,E01020658,22.5
152,E01020659,41.5
153,E01020660,1.3
154,E01020709,2.4
155,E01020717,45.7
156,E01020718,46.7
157,E01020719,38.5
158,E01020721,38.1
159,E01020708,17.8
160,E01020710,14.9
161,E01020711,32.3
162,E01020720,49.5
163,E01020679,11.7
164,E01020680,1.2
165,E01020681,24.8
166,E01020714,4.2
167,E01020716,22.1
168,E01020725,1.9
169,E01020726,3.9
170,E01020727,2.1
171,E01020729,1.7
172,E01020730,15.3
173,E01020731,3.7
174,E01020682,31.9
175,E01020683,30.2
176,E01020690,3.5
177,E01020691,58.1
178,E01020692,22.4
179,E01020693,16.3
180,E01020722,60.2
181,E01020723,48.7
182,E01020724,9.3
183,E01020703,57.4
184,E01033164,41.0
185,E01033195,32.0
186,E01033197,32.8
187,E01033221,8.8
188,E01020684,4.3
189,E01020702,8.0
190,E01020704,37.8
191,E01020712,16.6
192,E01020713,7.0
193,E01020705,14.8
194,E01020706,1.9
195,E01020715,3.3
196,E01020685,1.0
197,E01020686,34.4
198,E01020687,46.5
199,E01020688,5.6
200,E01020689,10.1
201,E01020694,41.6
202,E01020696,0.9
203,E01020697,14.0
204,E01020732,1.9
205,E01020695,1.9
206,E01020698,9.8
207,E01020699,6.0
208,E01020700,1.3
209,E01020701,21.9
210,E01020750,56.2
211,E01020781,26.6
212,E01020786,2.6
213,E01020787,40.8
214,E01033163,7.3
215,E01033202,35.8
216,E01020740,37.3
217,E01020741,52.2
218,E01020742,11.8
219,E01020782,37.7
220,E01020783,59.3
221,E01020784,22.4
222,E01020743,10.9
223,E01020747,43.3
224,E01020748,61.2
225,E01020749,33.5
226,E01020773,3.8
227,E01020775,26.0
228,E01020776,5.3
229,E01033161,5.4
230,E01033198,69.5
231,E01033205,5.4
232,E01033206,16.7
233,E01020751,17.9
234,E01020752,3.7
235,E01020754,1.4
236,E01020756,1.7
237,E01020745,43.8
238,E01020753,19.3
239,E01020757,45.6
240,E01020758,24.5
241,E01020759,16.2
242,E01020765,7.9
243,E01020760,7.3
244,E01020761,2.8
245,E01020762,27.1
246,E01020763,1.6
247,E01020764,37.5
248,E01020766,60.6
249,E01020767,15.9
250,E01020768,21.2
251,E01020733,50.6
252,E01020734,28.0
253,E01020735,57.1
254,E01020770,30.0
255,E01020771,31.5
256,E01020780,24.1
257,E01020746,21.4
258,E01020769,31.4
259,E01020777,27.8
260,E01020778,14.3
261,E01020779,18.5
262,E01020736,3.4
263,E01020737,5.4
264,E01020738,12.0
265,E01020739,66.2
266,E01020744,11.3
267,E01020788,6.9
268,E01020789,3.3
269,E01020790,3.9
270,E01020791,25.8
271,E01020792,7.4
272,E01020772,0.8
273,E01020793,13.3
274,E01020794,15.1
275,E01020795,1.5
276,E01020817,18.1
277,E01020818,30.5
278,E01020819,49.6
279,E01020837,50.2
280,E01020843,3.3
281,E01020809,3.8
